"","Species","Number","Museum","AP","ML.large","ML.small","Oblique.rt","Oblique.left","ring","Species2"
"162","Hylobates lar",41412,"MCZ",80.434,51.166,41.363,75.475,73.867,"ring5","Hylobates lar"
"163","Pongo",37363,"MCZ",148.318,92.418,77.178,135.604,136.295,"ring5","Pongo"
"164","Pongo",5195,"MCZ",142.779,98.856,77.252,136.392,131.987,"ring5","Pongo"
"165","Pongo",1055,"CMNH",136.892,92.054,84.452,124.885,121.939,"ring5","Pongo"
"166","Pongo",1030,"CMNH",138.085,91.563,82.78,132.245,127.342,"ring5","Pongo"
"167","Pongo",37365,"MCZ",154.041,101.582,99.929,146.366,148.015,"ring5","Pongo"
"168","Pongo",50958,"MCZ",131.33,79.27,67.334,123.304,123.024,"ring5","Pongo"
"169","Pongo",2583,"CMNH",133.653,78.689,73.269,131.15,129.396,"ring5","Pongo"
"170","Pongo",1677,"AIMZ",146.082,92.871,89.873,141.245,137.052,"ring5","Pongo"
"171","Pongo",1167,"CMNH",117.115,93.106,83.97,110.547,113.995,"ring5","Pongo"
"172","Gorilla",17684,"MCZ",157.482,100.354,99.299,150.949,150.482,"ring5","Gorilla"
"173","Gorilla",2043,"MCZ",155.718,101.767,88,143.972,143.157,"ring5","Gorilla"
"174","Gorilla",26850,"MCZ",154.22,104.05,94.569,147.603,145.987,"ring5","Gorilla"
"175","Gorilla",29047,"MCZ",159.671,101.978,66.429,148.559,146.309,"ring5","Gorilla"
"176","Gorilla",38326,"MCZ",149.423,106.008,95.466,138.806,135.312,"ring5","Gorilla"
"177","Gorilla",1704,"CMNH",156.054,104.043,75.281,145.354,142.109,"ring5","Gorilla"
"178","Gorilla",1897,"CMNH",164.712,96.046,95.328,156.729,155.514,"ring5","Gorilla"
"179","Gorilla",1798,"CMNH",166.038,107.213,103.289,150.56,152.834,"ring5","Gorilla"
"180","Gorilla",1765,"CMNH",167.12,109.262,102.827,158.189,151.776,"ring5","Gorilla"
"181","Pan t. verus",10736,"MCZ",151.757,94.178,88.584,139.896,139.902,"ring5","Pan t."
"182","Pan t.",6244,"MCZ",151.92,85.807,70.153,142.496,141.862,"ring5","Pan t."
"183","Pan t. ellioti",1749,"CMNH",121.511,84.465,66.036,115.322,116.544,"ring5","Pan t."
"184","Pan t.",1755,"CMNH",130.606,96.888,77.117,127.715,125.623,"ring5","Pan t."
"185","Pan t.",1880,"CMNH",149.978,105.253,82.156,142.76,142.792,"ring5","Pan t."
"186","Pan t.",2823,"CMNH",110.911,81.318,78.204,111.559,107.921,"ring5","Pan t."
"187","Pan t.",1843,"CMNH",136.001,100.456,75.385,131.622,133.489,"ring5","Pan t."
"188","Pan t.",23167,"MCZ",132.283,104.379,80.195,131.032,131.112,"ring5","Pan t."
"189","Pan t.",3539,"CMNH",135.127,117.245,90.646,137.602,137.693,"ring5","Pan t."
"190","Pan t.",3551,"CMNH",133.233,94.378,75.715,120.138,123.472,"ring5","Pan t."
"191","Hylobates lar",35949,"MCZ",82.2051297,54.7106943,41.5357254,74.8559715,74.3976426,"ring6","Hylobates lar"
"192","Hylobates lar",41469,"MCZ",68.307,50.458,44.556,64.051,66.362,"ring6","Hylobates lar"
"193","Hylobates lar",41449,"MCZ",72.684,52.219,43.615,65.673,65.406,"ring6","Hylobates lar"
"194","Hylobates lar",41477,"MCZ",70.291,43.543,35.066,67.653,64.566,"ring6","Hylobates lar"
"195","Hylobates lar",41506,"MCZ",72.845,42.723,34.635,66.574,61.915,"ring6","Hylobates lar"
"196","Hylobates lar",41524,"MCZ",72.954,46.448,41.095,65.418,65.947,"ring6","Hylobates lar"
